path,bytes,sha256,chassis,scripts,print_sections,print_boxes,wit_panel,loop_mark,closure_line,ta_brief,cc,lundy_boxes,sow_strip,award_strip,guide_tagged
Art_Teesside/Arts_Partnership_Log.html,5893,bb44827b2472,doc,0,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Build/Autumn2_Printable_Weekly_Evidence_Pack.html,24471,0187d9c81d66,doc,1,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Build/Autumn2_Scheme_of_Work.html,8804,6dfc5031698b,doc,0,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Build/Autumn2_Studio_Session_Run_Sheets.html,16868,c02a17e31e7a,doc,1,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Build/BUILD_ART_A2_W1_Surface_Hunt.html,93835,1f036d63c3d4,v5-art,6,14,0,0,0,0,v5,1,4,1,1,0
Art_Teesside/Build/BUILD_ART_A2_W2_Arts_Inspiration.html,93895,c30874d4d101,v5-art,6,14,0,0,0,0,v5,1,4,1,1,0
Art_Teesside/Build/BUILD_ART_A2_W3_Stencil_Lab.html,92649,c357d495dc24,v5-art,6,14,0,0,0,0,v5,1,4,1,1,0
Art_Teesside/Build/BUILD_ART_A2_W4_Audience_Week.html,93169,e08ce10b9f72,v5-art,6,14,0,0,0,0,v5,1,4,1,1,0
Art_Teesside/Build/BUILD_ART_A2_W5_Layer_and_Combine.html,93395,fcc842b09955,v5-art,6,14,0,0,0,0,v5,1,4,1,1,0
Art_Teesside/Build/BUILD_ART_A2_W6_Resolve_and_Edition.html,92980,a9507a2268f9,v5-art,6,14,0,0,0,0,v5,1,4,1,1,0
Art_Teesside/Build/BUILD_ART_A2_W7_Bank_It_and_Plan_the_Teach.html,93693,852d8a7c4bcf,v5-art,6,14,0,0,0,0,v5,1,4,1,1,0
Art_Teesside/Build/BUILD_ART_W1_The_Local_Canvas.html,100691,f8fa93406dfa,v5-art,6,14,0,0,1,0,v5,1,4,1,1,0
Art_Teesside/Build/BUILD_ART_W2_Artists_Makers_and_Teesside_Connections.html,104413,9a010d27d9a0,v5-art,6,15,0,0,1,0,v5,1,4,1,1,0
Art_Teesside/Build/BUILD_ART_W3_Industrial_Surface_Skills_Lab.html,102735,8c4b63b23c31,v5-art,6,14,0,0,1,0,v5,1,4,1,1,0
Art_Teesside/Build/BUILD_ART_W4_Build_the_Brief.html,100190,14a4966a9361,v5-art,6,14,0,0,1,0,v5,1,4,1,1,0
Art_Teesside/Build/BUILD_ART_W5_Critique_Test_and_Redirect.html,100267,2add48c2b75d,v5-art,6,14,0,0,1,0,v5,1,4,1,1,0
Art_Teesside/Build/BUILD_ART_W6_Resolve_the_Artwork.html,99788,2b6f4213d2a1,v5-art,6,14,0,0,1,0,v5,1,4,1,1,0
Art_Teesside/Build/BUILD_ART_W7_Curate_the_Showcase.html,100601,8564d75dfdac,v5-art,6,14,0,0,1,0,v5,1,4,1,1,0
Art_Teesside/Build/BUILD_ART_W8_Share_Reflect_and_Close_the_Loop.html,101128,180d6822edea,v5-art,6,14,0,0,1,0,v5,1,4,1,1,0
